CASENUM,STRM,Subject,CatalogNbr,TITLE,Grade
1,FALL 12,MA,4,Beginning Algebra,B
2,FALL 12,MA,111,College Math for Aviation I,A
2,SPRING 13,MA,112,College Math for Aviation II,C
3,FALL 12,MA,143,Precalculus Essentials,C
3,SPRING 13,MA,241,Calculus & Analytical Geom I,W
3,FALL 13,MA,241,Calculus & Analytical Geom I,F
4,FALL 12,MA,6,Intermediate Algebra,B
4,SPRING 13,MA,111,College Math for Aviation I,B
4,SUMMER 13,MA,112,College Math for Aviation II,B
5,FALL 12,MA,241,Calculus & Analytical Geom I,F
5,SPRING 13,MA,241,Calculus & Analytical Geom I,C
5,SUMMER 13,MA,242,Calculus & Analytical Geom II,C
5,FALL 13,MA,243,Calculus & Analytical Geom III,AU
5,SPRING 14,MA,243,Calculus & Analytical Geom III,D
5,SUMMER 14,MA,243,Calculus & Analytical Geom III,C
5,FALL 14,MA,345,Differential Eq & Matrix Meth,F
6,FALL 12,MA,6,Intermediate Algebra,A
6,SPRING 13,MA,111,College Math for Aviation I,B
6,FALL 13,MA,112,College Math for Aviation II,C
7,FALL 12,MA,6,Intermediate Algebra,F
7,SPRING 13,MA,6,Intermediate Algebra,F
8,FALL 12,MA,6,Intermediate Algebra,B
8,SPRING 13,MA,111,College Math for Aviation I,B
9,FALL 12,MA,143,Precalculus Essentials,B
9,SPRING 13,MA,241,Calculus & Analytical Geom I,C
9,FALL 13,MA,242,Calculus & Analytical Geom II,C
9,SPRING 14,MA,241,Calculus & Analytical Geom I,A
9,SPRING 14,MA,243,Calculus & Analytical Geom III,A
9,FALL 14,MA,345,Differential Eq & Matrix Meth,C
9,SPRING 15,MA,441,Math Methods Engr & Physics I,B
10,FALL 12,MA,241,Calculus & Analytical Geom I,A
10,SPRING 13,MA,242,Calculus & Analytical Geom II,A
10,SUMMER 13,MA,243,Calculus & Analytical Geom III,A
10,FALL 13,MA,345HON,Differential Eq & Matrix Meth,A
10,SPRING 14,MA,441,Math Methods Engr & Physics I,A
10,SPRING 15,MA,502,Boundary Value Problems,A
11,FALL 12,MA,242,Calculus & Analytical Geom II,C
11,SPRING 13,MA,243,Calculus & Analytical Geom III,C
12,FALL 12,MA,112,College Math for Aviation II,F
12,SPRING 13,MA,112,College Math for Aviation II,F
12,FALL 13,MA,112,College Math for Aviation II,D
13,FALL 12,MA,143,Precalculus Essentials,D
13,SPRING 13,MA,241,Calculus & Analytical Geom I,F
13,FALL 13,MA,241,Calculus & Analytical Geom I,C
13,SPRING 14,MA,242,Calculus & Analytical Geom II,D
13,SUMMER 14,MA,242,Calculus & Analytical Geom II,B
13,FALL 14,MA,345,Differential Eq & Matrix Meth,C
13,SPRING 15,MA,441,Math Methods Engr & Physics I,W
14,FALL 12,MA,112,College Math for Aviation II,B
15,FALL 12,MA,112,College Math for Aviation II,F
15,SPRING 13,MA,112,College Math for Aviation II,D
16,FALL 12,MA,111,College Math for Aviation I,D
16,SPRING 13,MA,112,College Math for Aviation II,F
17,FALL 12,MA,220,Quantitative Methods II,D
18,FALL 12,MA,112,College Math for Aviation II,B
19,FALL 12,MA,241,Calculus & Analytical Geom I,B
19,SPRING 13,MA,242,Calculus & Analytical Geom II,B
19,FALL 13,MA,243,Calculus & Analytical Geom III,C
19,SPRING 14,MA,345,Differential Eq & Matrix Meth,A
20,FALL 12,MA,4,Beginning Algebra,C
20,SPRING 13,MA,111,College Math for Aviation I,D
21,FALL 12,MA,111,College Math for Aviation I,C
21,SPRING 13,MA,112,College Math for Aviation II,F
21,FALL 13,MA,112,College Math for Aviation II,C
22,FALL 12,MA,111,College Math for Aviation I,C
22,SPRING 13,MA,112,College Math for Aviation II,F
23,FALL 12,MA,243,Calculus & Analytical Geom III,F
23,SPRING 13,MA,243,Calculus & Analytical Geom III,D
24,FALL 12,MA,6,Intermediate Algebra,F
24,SPRING 13,MA,6,Intermediate Algebra,W
24,FALL 13,MA,6,Intermediate Algebra,C
25,FALL 12,MA,241,Calculus & Analytical Geom I,D
25,SUMMER 13,MA,241,Calculus & Analytical Geom I,A
26,FALL 12,MA,111,College Math for Aviation I,C
